ivan demidov
michael misa
alexander nikishin
jimmy snuggerud
ryan leonard
zeev buium
zayne parekh
ville koivunen
gabriel perreault
sam dickinson
sam rinzel
james hagens
rutger mcGroarty
matthew savoie
calum ritchie
matthew schaefer
maxim shabanov
anton frondell
brad lambert
artyom levshunov
tij iginla
konsta helenius
cole eiserman
beckett sennecke
axel sandin pellikka
kasper halttunen
daniil but
jordan dumais
fraser minten
matej blumel
oliver moore
Nikita Prishchepov
isaac howard
liam ohgren
danila yurov
matthew wood
Arseny Gritsyuk
isaiah george
owen pickering
jani nyman
logan mailloux
justin sourdif
easton cowan
porter martone
berkly catton
caleb desnoyers
simon nemec
carter yakemchuk
dalibor dvorsky
bradly nadeau
ty mueller
luca cagnoni
quinn hutson

